#  Space-time domain Green function database
#  calculated on Tue Jun 02 14:57:23 2020
#================================================
#  data_type size: REAL*4
#================================================
#  time_window[s] sampling[s] number_of_samples
    200.00      0.01 20001
#================================================
#  number of distances, list of distances[km]
     365
  107       50.3300        9.5060        0.0000       11.2883  57822.00      0.00
  108       50.3400        9.5541        0.0000       11.3365  57822.00      0.00
  109       50.3300        9.6004        0.0000       11.3836  57822.00      0.00
  110       50.3300        9.6452        0.0000       11.4295  57822.00      0.00
  111       50.3300        9.6886        0.0000       11.4741  57822.00      0.00
  112       50.3300        9.7306        0.0000       11.5176  57822.00      0.00
  113       50.3300        9.7713        0.0000       11.5600  57822.00      0.00
  114       50.3300        9.8109        0.0000       11.6012  57822.00      0.00
  115       50.3300        9.8493        0.0000       11.6414  57822.00      0.00
  116       50.3300        9.8866        0.0000       11.6805  57822.00      0.00
  117       50.3400        9.9230        0.0000       11.7185  57822.00      0.00
  118       50.3300        9.9585        0.0000       11.7555  57822.00      0.00
  119       50.3300        9.9932        0.0000       11.7914  57822.00      0.00
  120       50.3300       10.0271        0.0000       11.8264  57822.00      0.00
  121       50.3300       10.0603        0.0000       11.8604  57822.00      0.00
  122       50.3300       10.0931        0.0000       11.8935  57822.00      0.00
  123       50.3300       10.1255        0.0000       11.9256  57822.00      0.00
  124       50.3300       10.1577        0.0000       11.9568  57822.00      0.00
  125       50.3300       10.1894        0.0000       11.9861  57822.00      0.00
  126       50.3400       10.2189        0.0000       12.0156  57822.00      0.00
  127       50.3300       10.2447        0.0000       12.0452  57822.00      0.00
  128       50.3300       10.2655        0.0000       12.0730  57822.00      0.00
  129       50.3300       10.2799        0.0000       12.1000  57822.00      0.00
  130       49.9300       10.2872        0.0000       12.1262  57822.00      0.00
  131       51.1100       11.0506        3.5114       12.7163    338.58     85.03
  132       50.7100       11.0651        3.5250       12.7409    336.99     85.03
  133       50.7200       11.0784        3.5374       12.7645    335.55     85.03
  134       50.7100       11.0916        3.5492       12.7870    334.21     85.03
  135       50.7100       11.1074        3.5605       12.8084    333.12     85.03
  136       50.7100       11.1241        3.5712       12.8287    332.20     85.03
  137       50.7200       11.1386        3.5814       12.8480    331.26     85.03
  138       50.7100       11.1523        3.5910       12.8662    330.37     85.03
  139       50.7100       11.1652        3.6000       12.8834    329.54     85.03
  140       50.7100       11.1773        3.6084       12.8994    328.78     85.03
  141       50.7200       11.1886        3.6163       12.9144    328.07     85.03
  142       50.7100       11.1991        3.6236       12.9284    327.40     85.03
  143       50.7100       11.2087        3.6304       12.9412    326.80     85.03
  144       50.7100       11.2176        3.6366       12.9530    326.25     85.03
  145       50.7200       11.2257        3.6422       12.9637    325.75     85.03
  146       50.7100       11.2329        3.6473       12.9733    325.29     85.03
  147       50.7100       11.2394        3.6518       12.9819    324.89     85.03
  148       50.7100       11.2450        3.6558       12.9894    324.55     85.03
  149       50.7200       11.2499        3.6592       12.9958    324.25     85.03
  150       50.7100       11.2539        3.6620       13.0012    324.01     85.03
  151       50.7100       11.2571        3.6642       13.0055    323.81     85.03
  152       50.7100       11.2596        3.6659       13.0087    323.66     85.03
  153       50.7200       11.2612        3.6670       13.0108    323.57     85.03
  154       50.7100       11.2620        3.6676       13.0119    323.52     85.03
#================================================
#  binary files of arrival time [s], takeoff
#  angle [deg] and slowness [s/m] for P and S
#  waves. data are stored in the following order:
#  {green_function_depth
#   {green_function_distance,
#      {onset,takeoff, slowness}}}
#  note: each table needs (4)+number_of_distances
#        number_of_depths*12+(4)bytes, where (4)
#        bytes are for the reserved places before
#         and after each record
#================================================
  'tptable.dat'
  'tstable.dat'
